predicted_pest,count
"nematode, nematode worm, roundworm",64
"grasshopper, hopper",45
tick,41
"ear, spike, capitulum",38
"long-horned beetle, longicorn, longicorn beetle",26
"ant, emmet, pismire",21
isopod,21
"lacewing, lacewing fly",17
"ground beetle, carabid beetle",16
"barn spider, Araneus cavaticus",15
rhinoceros beetle,15
leafhopper,14
bee,12
cricket,11
"harvestman, daddy longlegs, Phalangium opilio",9
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",8
dung beetle,8
"ringlet, ringlet butterfly",8
"leaf beetle, chrysomelid",8
centipede,6
fly,5
slug,5
damselfly,4
weevil,3
"cockroach, roach",3
"walking stick, walkingstick, stick insect",3
"sea cucumber, holothurian",2
acorn,2
"African chameleon, Chamaeleo chamaeleon",2
custard apple,2
tiger beetle,2
head cabbage,2
"mantis, mantid",1
hair slide,1
bell pepper,1
conch,1
"crayfish, crawfish, crawdad, crawdaddy",1
fig,1
Granny Smith,1
window screen,1
"cicada, cicala",1
hummingbird,1
"lycaenid, lycaenid butterfly",1
cabbage butterfly,1
